gene_set_source,gene_set_id,gene_set_label,gene_set_type,gene_set_size,cell_class,within_species_meanROC,human_meanROC,marmoset_meanROC,mouse_meanROC,human_marmoset_meanROC,human_mouse_meanROC,marmoset_mouse_meanROC
HGNC,585,Small heat shock proteins,Other,11,GABAergic,0.553706782,0.573710766,0.498772453,0.588637127,0.529346699,0.524389062,0.514242053
HGNC,575,Collagen proteoglycans,Other,5,Glutamatergic,0.553665551,0.506945923,0.505391235,0.648659495,0.463294033,0.45835784,0.526893978
HGNC,1290,PX-BAR domain containing,Other,12,GABAergic,0.553602455,0.541371258,0.540080385,0.579355722,0.520735989,0.516084557,0.497295924
HGNC,557,F-boxes,Other,71,Glutamatergic,0.553487606,0.549187607,0.54537217,0.565903041,0.509915247,0.499237013,0.499156372
HGNC,1156,MAPK activated protein kinases,Other,11,GABAergic,0.553406308,0.551041858,0.550500924,0.558676141,0.505091057,0.50910026,0.516990165
HGNC,537,Dyneins,Other,31,GABAergic,0.553285041,0.580371704,0.529649294,0.549834126,0.511617625,0.505452082,0.508520854
SynGO,GO:0001504,neurotransmitter uptake,Signaling,5,Glutamatergic,0.553233577,0.558307231,0.53906396,0.56232954,0.515150088,0.526922469,0.529642267
HGNC,532,Myb/SANT domain containing,Other,53,Glutamatergic,0.553171208,0.556497655,0.565745535,0.537270433,0.530792202,0.50480633,0.519763481
HGNC,59,Tripartite motif containing,Other,95,GABAergic,0.55302437,0.592253127,0.530326554,0.536493428,0.503331092,0.48803167,0.502341977
HGNC,601,Interleukins,Other,43,GABAergic,0.552750813,0.564757537,0.524126089,0.569368813,0.506491595,0.498186174,0.487662556
HGNC,1124,SNAREs,Other,39,Glutamatergic,0.552672904,0.55679138,0.535694587,0.565532744,0.521028912,0.513047155,0.503008165
HGNC,930,Progestin and adipoQ receptor family,Signaling,11,GABAergic,0.552259179,0.543410818,0.545945541,0.567421177,0.508011039,0.497970936,0.528462583
HGNC,1054,Ribosomal proteins,Other,164,Glutamatergic,0.552185454,0.587258761,0.536418984,0.532878615,0.530874096,0.524744154,0.515816269
HGNC,554,Fibrinogen C domain containing,Other,25,Glutamatergic,0.55207697,0.61377451,0.514825787,0.527630612,0.501065987,0.480908081,0.470189669
SynGO,GO:1900242,regulation of synaptic vesicle endocytosis,Signaling,15,GABAergic,0.552052528,0.567976298,0.525393102,0.562788184,0.512031139,0.515750682,0.506109038
HGNC,582,Heat shock proteins,Other,97,GABAergic,0.552026084,0.57623938,0.519171375,0.560667496,0.508722265,0.513509897,0.509985225
HGNC,1253,Scavenger receptors,Signaling,27,Glutamatergic,0.551719222,0.617780889,0.522771626,0.514605152,0.494149969,0.495215043,0.504242213
HGNC,1219,Troponin complex subunits,Other,8,Glutamatergic,0.551587771,0.574536646,0.578373613,0.501853055,0.517923579,0.450749528,0.570777687
HGNC,1670,Adaptor related protein complexes,Other,28,Glutamatergic,0.551245442,0.550814859,0.529126041,0.573795427,0.513383522,0.507808883,0.522432473
HGNC,1855,Nectins and nectin-like molecules,Other,10,Glutamatergic,0.551113157,0.551688799,0.539258352,0.562392319,0.533394023,0.5246753,0.517656805
HGNC,950,Gelsolin/villins,Other,8,GABAergic,0.550819146,0.563656865,0.468353044,0.62044753,0.493358994,0.511633713,0.434733418
HGNC,46,1-acylglycerol-3-phosphate O-acyltransferases,Other,11,Glutamatergic,0.550775593,0.57276518,0.53738646,0.54217514,0.530196622,0.524994816,0.549218261
HGNC,519,NKL subclass homeoboxes and pseudogenes,Other,67,GABAergic,0.550661922,0.559046927,0.522866062,0.570072775,0.532855633,0.526708895,0.505766127
HGNC,1146,GRAM domain containing,Other,28,GABAergic,0.550545218,0.558624405,0.543754906,0.549256345,0.517408593,0.50292013,0.517571987
HGNC,407,Arachidonate lipoxygenases,Other,6,GABAergic,0.55031969,0.578059662,0.528781959,0.544117449,0.540584601,0.500661284,0.496599946
HGNC,81,Zinc fingers FYVE-type,Other,31,GABAergic,0.55025606,0.56627991,0.538692505,0.545795763,0.522749373,0.502195128,0.504842112
SynGO,GO:0098700,synaptic vesicle neurotransmitter loading,Signaling,6,GABAergic,0.550200268,0.634878838,0.509780522,0.505941445,0.49534456,0.514399627,0.507883175
HGNC,631,Lipocalins,Other,19,Glutamatergic,0.550150466,0.584971356,0.523775248,0.541704796,0.53807668,0.487183538,0.548954482
HGNC,818,Syntaxins,Other,16,Glutamatergic,0.550095383,0.564210609,0.540178011,0.545897531,0.524039205,0.505063183,0.501941927
HGNC,473,Cyclins,Other,30,GABAergic,0.550021376,0.576103689,0.527614749,0.546345689,0.523711228,0.520922624,0.509510188
SynGO,GO:0008021,synaptic vesicle,Signaling,28,Glutamatergic,0.549754679,0.548260744,0.538086414,0.562916879,0.527815195,0.506077489,0.486474611
HGNC,1159,Integrin beta subunits,Other,9,GABAergic,0.549750124,0.576529219,0.539808367,0.532912786,0.492096022,0.498486876,0.508279882
HGNC,484,Chromatin modifying enzymes,Other,80,GABAergic,0.549357257,0.555098202,0.557002327,0.535971242,0.520352295,0.500589938,0.499972347
HGNC,743,Short chain dehydrogenase/reductase superfamily,Other,76,Glutamatergic,0.549330335,0.530595973,0.552840697,0.564554336,0.515779313,0.5125809,0.493495961
SynGO,GO:0016081,synaptic vesicle docking,Signaling,5,GABAergic,0.549183032,0.579554183,0.525587912,0.542407,0.5184785,0.529218644,0.487142078
HGNC,540,EMI domain containing,Other,7,Glutamatergic,0.549141262,0.498893768,0.564944423,0.583585594,0.502494423,0.486702305,0.474383492
HGNC,1544,Delta catenins,Other,7,GABAergic,0.549128557,0.622556133,0.509397678,0.515431861,0.522213901,0.500814729,0.498252748
SynGO,GO:0090128,regulation of synapse maturation,Signaling,10,GABAergic,0.54904337,0.546423185,0.518577539,0.582129387,0.507218448,0.526885703,0.519576422
HGNC,276,Potassium inwardly rectifying channel subfamily J,Ion Channel,16,GABAergic,0.548956995,0.564920361,0.524534742,0.557415881,0.517501134,0.506417597,0.483781061
HGNC,812,Protein tyrosine phosphatases non-receptor type,Signaling,18,GABAergic,0.548592994,0.557083506,0.550768683,0.537926792,0.512449434,0.481408216,0.520172135
HGNC,1638,Complement system activation components,Other,27,Glutamatergic,0.548391065,0.523736654,0.542718167,0.578718373,0.500349096,0.505313996,0.510522816
SynGO,GO:0150052,regulation of postsynapse assembly,Signaling,7,Glutamatergic,0.548384589,0.569835311,0.538757531,0.536560924,0.525102702,0.516793387,0.501467204
HGNC,517,ANTP class homeoboxes,Other,119,GABAergic,0.54820853,0.555820515,0.519626785,0.569178291,0.527501001,0.526709148,0.508008286
HGNC,629,Galectins,Other,15,GABAergic,0.548089687,0.503633322,0.517105292,0.623530447,0.494706377,0.538661095,0.504178779
HGNC,538,"Dyneins, cytoplasmic",Other,13,Glutamatergic,0.548088778,0.570035349,0.518754688,0.555476296,0.520395813,0.51628805,0.504992717
HGNC,1036,Membrane bound O-acyltransferases,Other,8,GABAergic,0.548017899,0.563975873,0.552043329,0.528034495,0.54467274,0.522920974,0.508968042
HGNC,398,Aldehyde dehydrogenases,Other,19,GABAergic,0.547807222,0.577464322,0.535678823,0.530278522,0.517938435,0.497536328,0.510101986
HGNC,404,Annexins,Other,13,GABAergic,0.54765643,0.558361692,0.55911068,0.525496919,0.521110924,0.515175942,0.498151869
HGNC,764,Suppressors of cytokine signaling,Signaling,8,Glutamatergic,0.547467736,0.551156162,0.522906153,0.568340893,0.521449608,0.521694113,0.506217189
HGNC,538,"Dyneins, cytoplasmic",Other,13,GABAergic,0.5474601,0.554741012,0.531260088,0.5563792,0.51415546,0.511699884,0.499654739
HGNC,1279,SIBLING family,Other,5,Glutamatergic,0.547412771,0.49617622,0.506602683,0.639459409,0.500283526,0.506892253,0.476163815
HGNC,653,Mitogen-activated protein kinase kinases,Signaling,7,Glutamatergic,0.546774465,0.558506788,0.529928616,0.551887992,0.506112394,0.521327703,0.496119846
HGNC,4,Abhydrolase domain containing,Other,26,GABAergic,0.546660391,0.549094483,0.531987046,0.558899644,0.515940826,0.505909145,0.515180949
HGNC,1167,DNA helicases,Other,31,GABAergic,0.546394709,0.566779205,0.546333258,0.526071666,0.54288991,0.521947109,0.506206299
HGNC,684,Poly(ADP-ribose) polymerases,Other,17,GABAergic,0.546245982,0.514066795,0.574992702,0.549678449,0.518948492,0.507356397,0.495404228
HGNC,1098,Myosin heavy chains,Other,15,Glutamatergic,0.545985691,0.566624261,0.53523759,0.536095223,0.537919085,0.510321622,0.499417286
HGNC,454,Blood group antigens,Other,41,GABAergic,0.545778146,0.533644959,0.566204583,0.537484896,0.523554055,0.515744094,0.501125495
HGNC,1083,HAD Asp-based phosphatases,Other,28,Glutamatergic,0.545501329,0.534607878,0.556762764,0.545133344,0.514000521,0.498638873,0.506933539
HGNC,1822,Ectonucleoside triphosphate diphosphohydrolase family,Other,8,Glutamatergic,0.545493376,0.527250046,0.610361576,0.498868507,0.516915002,0.503361344,0.51608682
HGNC,1036,Membrane bound O-acyltransferases,Other,8,Glutamatergic,0.54528415,0.59222027,0.531809274,0.511822905,0.532290081,0.520386907,0.532249799
HGNC,1368,Iron (II) and 2-oxoglutarate dependent oxygenases,Other,30,Glutamatergic,0.544988668,0.544170067,0.558176726,0.53261921,0.510870346,0.487709198,0.497384412
HGNC,692,Protein disulfide isomerases,Other,21,Glutamatergic,0.544969205,0.534433384,0.540701284,0.559772947,0.518451779,0.491130198,0.502261659
HGNC,560,F-boxes other,Other,39,Glutamatergic,0.544921773,0.539621097,0.53280727,0.562336954,0.508499024,0.501943306,0.496658589
HGNC,1411,Gag like LTR retrotransposon derived genes,Other,86,GABAergic,0.544794073,0.537793225,0.533675645,0.562913348,0.524241082,0.520121737,0.492489026
HGNC,1374,TLC domain containing,Other,16,GABAergic,0.544599777,0.52815464,0.513806356,0.591838336,0.506615509,0.508801201,0.484409118
HGNC,1054,Ribosomal proteins,Other,164,GABAergic,0.544584833,0.569097663,0.518418787,0.54623805,0.522102822,0.534472353,0.519312174
HGNC,1134,GCN5 related N-acetyltransferases,Other,24,GABAergic,0.544146028,0.552105129,0.572689636,0.50764332,0.530720821,0.50297952,0.50850454
HGNC,1132,N-acetyltransferases,Other,27,GABAergic,0.544146028,0.552105129,0.572689636,0.50764332,0.530720821,0.50297952,0.50850454
HGNC,1416,Transposable element derived genes,Other,121,GABAergic,0.543840516,0.538874735,0.532573741,0.560073072,0.523425853,0.516454369,0.493137637
HGNC,910,FKBP prolyl isomerases,Other,18,Glutamatergic,0.543839645,0.547232928,0.530331397,0.553954609,0.509860511,0.514150331,0.51903251
HGNC,1454,Condensin subunits,Other,8,GABAergic,0.543678935,0.525351767,0.55899667,0.546688368,0.508074846,0.510078336,0.506373402
HGNC,540,EMI domain containing,Other,7,GABAergic,0.543533023,0.55387529,0.527404827,0.549318952,0.519662119,0.491700464,0.470809654
HGNC,413,AAA ATPases,Other,58,GABAergic,0.543348968,0.568819883,0.53482256,0.52640446,0.523211365,0.50597992,0.508624399
HGNC,1667,Flavin containing monooxygenases,Other,11,GABAergic,0.543276077,0.502924565,0.526973323,0.599930341,0.519713542,0.485650281,0.492738923
HGNC,955,XK related family,Other,11,Glutamatergic,0.543272552,0.545715974,0.546708945,0.537392737,0.529275568,0.513399003,0.503125821
HGNC,1223,Crumbs complex,Other,9,Glutamatergic,0.54315174,0.544936948,0.545081365,0.539436906,0.506456431,0.509288969,0.533346772
HGNC,764,Suppressors of cytokine signaling,Signaling,8,GABAergic,0.543120894,0.520640246,0.511612759,0.597109677,0.505613197,0.505604228,0.512411169
HGNC,356,Adenylate kinases,Other,9,GABAergic,0.54302018,0.542372149,0.534562952,0.552125439,0.518066253,0.515407134,0.48996089
HGNC,66,Zinc fingers C2HC-type,Other,16,GABAergic,0.542894314,0.528001308,0.55381564,0.546865995,0.521787029,0.514360587,0.560296595
HGNC,782,Tumor necrosis factor receptor superfamily,Signaling,29,Glutamatergic,0.542465286,0.546164614,0.503156383,0.578074861,0.488443866,0.509829937,0.501424335
HGNC,1291,BAR-PH domain containing,Other,16,Glutamatergic,0.542345622,0.548866732,0.534377732,0.543792401,0.513556096,0.501828279,0.501843074
HGNC,1305,NuRD complex,Other,12,Glutamatergic,0.542253273,0.534093559,0.519208329,0.573457932,0.508109086,0.525434366,0.519585331
SynGO,GO:0048786,presynaptic active zone,Signaling,11,Glutamatergic,0.542121403,0.517376937,0.547485697,0.561501575,0.516314262,0.492980695,0.493771981
HGNC,895,MAP kinase phosphatases,Other,11,Glutamatergic,0.542119191,0.563734235,0.495004566,0.567618771,0.506163879,0.506159477,0.503838255
HGNC,422,BEN domain containing,Other,9,GABAergic,0.542097971,0.540886211,0.535543591,0.54986411,0.527555636,0.5087309,0.500255234
SynGO,GO:0099502,calcium-dependent activation of synaptic vesicle fusion,Signaling,6,GABAergic,0.542008943,0.549754432,0.525710834,0.550561564,0.518601589,0.508370023,0.490235408
HGNC,807,ATP binding cassette subfamily C,Other,13,GABAergic,0.541964086,0.562602209,0.535704898,0.527585151,0.519145516,0.511920531,0.495258129
HGNC,903,Myotubularins,Other,15,Glutamatergic,0.541929963,0.559455588,0.524210728,0.542123574,0.517240978,0.513847754,0.497606759
HGNC,761,Structural maintenance of chromosomes proteins,Other,7,GABAergic,0.541807421,0.528964033,0.547003887,0.549454342,0.504930303,0.517008613,0.499299954
HGNC,1822,Ectonucleoside triphosphate diphosphohydrolase family,Other,8,GABAergic,0.541794319,0.516895083,0.555164083,0.553323792,0.510776911,0.505989242,0.50967587
HGNC,1022,Autophagy related,Other,33,Glutamatergic,0.541672313,0.548001202,0.52731838,0.549697358,0.515365078,0.505709817,0.511608171
HGNC,1250,Gla domain containing,Other,13,Glutamatergic,0.541471261,0.617475326,0.503309872,0.503628585,0.520262135,0.483528619,0.491562707
HGNC,1428,"G protein subunits alpha, group i",Signaling,8,GABAergic,0.541384223,0.547560685,0.533925747,0.542666238,0.522530413,0.518889593,0.509734152
SynGO,GO:0099031,anchored component of postsynaptic density membrane,Signaling,7,Glutamatergic,0.541340136,0.565061583,0.546071524,0.512887303,0.530149608,0.517769746,0.497096599
HGNC,1290,PX-BAR domain containing,Other,12,Glutamatergic,0.541101211,0.532286797,0.515525924,0.575490911,0.510074949,0.519221959,0.522831887
HGNC,1156,MAPK activated protein kinases,Other,11,Glutamatergic,0.540937841,0.552166354,0.523712185,0.546934983,0.48878034,0.507962681,0.512014411
HGNC,215,Opsin receptors,Signaling,11,Glutamatergic,0.540829018,0.566861065,0.552726979,0.502899011,0.527678198,0.50826604,0.520459618
HGNC,667,Nudix hydrolase family,Other,24,Glutamatergic,0.54082434,0.526430038,0.563089321,0.532953661,0.51620326,0.499664361,0.506964017
HGNC,1122,BBSome,Other,8,Glutamatergic,0.540617504,0.546955053,0.512318247,0.562579213,0.510587706,0.509276571,0.505348374
HGNC,1168,RNA helicases,Other,80,GABAergic,0.540547006,0.539346087,0.542133201,0.540161729,0.520720484,0.513670629,0.508165976
HGNC,290,Acid sensing ion channel subunits,Ion Channel,5,GABAergic,0.540438907,0.534033381,0.510528705,0.576754637,0.518966727,0.545876473,0.497108626
HGNC,454,Blood group antigens,Other,41,Glutamatergic,0.540233839,0.555576216,0.54906755,0.516057751,0.510157674,0.504354967,0.522790357
HGNC,344,Receptor serine/threonine kinase family,Signaling,12,GABAergic,0.54018947,0.536195795,0.514929804,0.569442811,0.503998139,0.514937652,0.517724339
HGNC,1309,BTG/Tob family,Other,6,GABAergic,0.539958351,0.524307428,0.551932767,0.543634856,0.502720199,0.510191054,0.510939251
HGNC,1321,M14 carboxypeptidases,Other,28,Glutamatergic,0.539936746,0.554402402,0.527596327,0.53781151,0.503551916,0.500901028,0.506200305
HGNC,14,Wiskott-Aldrich Syndrome protein family,Other,16,GABAergic,0.539774436,0.551286144,0.520392078,0.547645086,0.524053718,0.512295272,0.505796655
HGNC,702,HAD Asp-based protein phosphatases,Other,14,Glutamatergic,0.539759733,0.529379825,0.554155111,0.535744264,0.512022321,0.499815822,0.508648004
HGNC,1493,"Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing",Other,14,Glutamatergic,0.539546042,0.525851605,0.527835051,0.564951471,0.506807186,0.506201811,0.493352644
HGNC,517,ANTP class homeoboxes,Other,119,Glutamatergic,0.53947786,0.561503357,0.546750615,0.510179608,0.501418017,0.510215771,0.513456324
HGNC,583,Heat shock 70kDa proteins,Other,17,Glutamatergic,0.539435895,0.549853017,0.515719927,0.55273474,0.508963216,0.497893916,0.50289361
HGNC,608,"Keratins, type I",Other,28,Glutamatergic,0.539392777,0.488106963,0.508133028,0.621938339,0.506276316,0.535913435,0.47915753
HGNC,615,Intraflagellar transport complexes,Other,32,GABAergic,0.539312216,0.522673443,0.549008394,0.546254811,0.509640276,0.501227581,0.51764242
HGNC,1197,PR/SET domain family,Other,17,Glutamatergic,0.539279632,0.550846342,0.552802442,0.514190112,0.525574951,0.495712659,0.497435112
HGNC,1369,Doublecortin superfamily,Other,10,GABAergic,0.539271814,0.502386842,0.562425518,0.553003083,0.515824377,0.503518473,0.507802478
HGNC,548,FA complementation groups,Other,22,Glutamatergic,0.539235315,0.539422308,0.547733651,0.530549985,0.520859919,0.497150301,0.513046958
HGNC,1458,Non-receptor tyrosine kinases,Signaling,32,GABAergic,0.539123454,0.53121887,0.53876181,0.547389681,0.509427319,0.497991411,0.531301339
HGNC,14,Wiskott-Aldrich Syndrome protein family,Other,16,Glutamatergic,0.539102924,0.536682584,0.510739657,0.569886531,0.506568852,0.512320848,0.497818702
HGNC,1056,TNF receptor associated factors,Signaling,7,GABAergic,0.539093916,0.556461599,0.527591929,0.53322822,0.515572069,0.48419639,0.493918486
HGNC,285,"G protein-coupled receptors, Class C orphans",Signaling,7,GABAergic,0.538891181,0.506761698,0.548392517,0.561519329,0.525123804,0.496992198,0.491157444
SynGO,GO:0097107,postsynaptic density assembly,Signaling,5,GABAergic,0.538864833,0.515851879,0.538204353,0.562538268,0.492486904,0.503507018,0.572934797
HGNC,560,F-boxes other,Other,39,GABAergic,0.538642161,0.546750969,0.53114759,0.538027923,0.515990877,0.502028284,0.512014638
HGNC,584,DNAJ (HSP40) heat shock proteins,Other,49,GABAergic,0.538598115,0.553781363,0.517728995,0.544283988,0.506748227,0.507105086,0.500824735
HGNC,1662,Inhibin subunits,Other,5,GABAergic,0.538575545,0.561246442,0.508196328,0.546283864,0.498962097,0.505144664,0.522676205
HGNC,1356,CAP superfamily,Other,13,Glutamatergic,0.538551113,0.619258146,0.503008192,0.493387002,0.504240278,0.473928837,0.497476443
HGNC,726,RNA polymerase subunits,Other,29,Glutamatergic,0.538526921,0.540975844,0.521716217,0.552888702,0.507061307,0.512041987,0.505128067
HGNC,345,Type 1 receptor serine/threonine kinases,Signaling,7,GABAergic,0.538234133,0.525149196,0.526902801,0.562650401,0.507430427,0.505319596,0.514507884
HGNC,399,Aldo-keto reductases,Other,19,GABAergic,0.538067582,0.5558747,0.50521853,0.553109515,0.50411742,0.516818512,0.568102796
HGNC,473,Cyclins,Other,30,Glutamatergic,0.537989367,0.539381241,0.541362141,0.53322472,0.522058981,0.499016242,0.509917039
HGNC,485,Lysine demethylases,Other,24,Glutamatergic,0.537983088,0.545430295,0.559658728,0.50886024,0.512207268,0.485207355,0.4967414
HGNC,1061,Mediator complex,Other,33,Glutamatergic,0.537942696,0.544467107,0.534426774,0.534934209,0.519546037,0.516266923,0.502135038
HGNC,357,ARF GTPase family,Other,31,GABAergic,0.537929818,0.535089433,0.522713763,0.555986259,0.502578713,0.502559865,0.514578826
HGNC,1057,BCL2 family,Other,25,GABAergic,0.537750338,0.545473993,0.511578423,0.556198598,0.506487467,0.485680313,0.491826789
HGNC,1124,SNAREs,Other,39,GABAergic,0.537604219,0.551033544,0.524482603,0.537296511,0.513720213,0.512408534,0.509591564
HGNC,1113,Spectrins,Other,7,GABAergic,0.537580659,0.531407634,0.524508034,0.556826308,0.51494538,0.514919984,0.513593396
HGNC,269,Glucagon receptor family,Signaling,6,Glutamatergic,0.537544459,0.620493256,0.49969467,0.492445451,0.475842439,0.48539935,0.527488995
HGNC,611,Intermediate filaments Type IV,Other,6,GABAergic,0.537366875,0.545224787,0.519947007,0.546928831,0.505655212,0.528284043,0.523788121
HGNC,818,Syntaxins,Other,16,GABAergic,0.537245732,0.550602562,0.539013809,0.522120824,0.515046402,0.498052101,0.504886201
HGNC,766,T-box transcription factors,Other,18,Glutamatergic,0.53718754,0.497581638,0.551464544,0.562516438,0.501945466,0.504683751,0.501285422
HGNC,186,Cation channels sperm associated ,Ion Channel,7,Glutamatergic,0.537142317,0.558378673,0.518012984,0.535035294,0.514179009,0.508824262,0.492463963
HGNC,981,Dynein regulatory complex,Other,11,Glutamatergic,0.536940529,0.522509471,0.52625319,0.562058926,0.508779511,0.502516942,0.497145624
HGNC,212,Purinergic receptors,Signaling,15,GABAergic,0.53690704,0.547407835,0.526349833,0.536963453,0.521266813,0.50175661,0.48506905
HGNC,1813,ELMO domain containing,Other,6,Glutamatergic,0.536856682,0.569848295,0.52873339,0.51198836,0.538534123,0.515282155,0.488040652
HGNC,356,Adenylate kinases,Other,9,Glutamatergic,0.536599341,0.542549673,0.510459582,0.556788768,0.49699248,0.492850042,0.522783151
HGNC,1606,GBAF complex,Other,13,Glutamatergic,0.536518957,0.494651721,0.516969889,0.59793526,0.486859673,0.492878563,0.49684276
HGNC,830,C2 and RasGAP domain containing,Other,10,GABAergic,0.536358456,0.516264041,0.550497052,0.542314276,0.507272982,0.510890355,0.528442574
HGNC,1053,14-3-3 phospho-serine/phospho-threonine binding proteins,Other,7,Glutamatergic,0.536302862,0.533859855,0.523832124,0.551216608,0.508436914,0.517507227,0.501734224
HGNC,647,MOB kinase activators,Other,7,GABAergic,0.536201087,0.508594512,0.555330636,0.544678114,0.485449753,0.504414366,0.501984375
HGNC,743,Short chain dehydrogenase/reductase superfamily,Other,76,GABAergic,0.536086027,0.56476447,0.523484091,0.520009519,0.516314239,0.499126402,0.512253037
HGNC,870,Minor histocompatibility antigens,Other,51,GABAergic,0.536055379,0.547590455,0.522871075,0.537704607,0.51386524,0.505383177,0.506313636
HGNC,1305,NuRD complex,Other,12,GABAergic,0.535999989,0.524259091,0.509702049,0.574038828,0.505784029,0.526932948,0.516240178
HGNC,696,Protein phosphatase 2 regulatory subunits,Other,15,Glutamatergic,0.535995424,0.53814323,0.532698672,0.53714437,0.511461408,0.493400272,0.496029463
HGNC,1950,Heterogeneous nuclear ribonucleoproteins,Other,26,Glutamatergic,0.535914578,0.531406706,0.518545815,0.557791214,0.508892337,0.503852979,0.498619179
HGNC,1134,GCN5 related N-acetyltransferases,Other,24,Glutamatergic,0.535902474,0.547141867,0.530165895,0.53039966,0.522883012,0.502441087,0.512165167
HGNC,1132,N-acetyltransferases,Other,27,Glutamatergic,0.535902474,0.547141867,0.530165895,0.53039966,0.522883012,0.502441087,0.512165167
HGNC,1062,GOLD domain containing,Other,19,GABAergic,0.535831164,0.545698052,0.512250789,0.54954465,0.518056996,0.524342935,0.506723119
SynGO,GO:0098992,neuronal dense core vesicle,Signaling,6,Glutamatergic,0.535810863,0.564621597,0.502426102,0.540384889,0.512179617,0.493223514,0.544150828
HGNC,755,Sp transcription factors,Other,9,GABAergic,0.535688266,0.538784691,0.506355847,0.56192426,0.516415438,0.545257671,0.494037913
HGNC,523,POU class homeoboxes and pseudogenes,Other,23,GABAergic,0.53568303,0.519421523,0.51400584,0.573621727,0.508293021,0.504975011,0.567228044
HGNC,667,Nudix hydrolase family,Other,24,GABAergic,0.535639895,0.511211736,0.558693202,0.537014747,0.502980003,0.504349091,0.504369969
HGNC,645,Mitochondrial respiratory chain complex assembly factors,Other,65,Glutamatergic,0.535529753,0.515125363,0.533687996,0.557775899,0.509308919,0.497616536,0.494155149
SynGO,GO:0099159,regulation of modification of postsynaptic structure,Signaling,8,Glutamatergic,0.535470058,0.529917682,0.53635004,0.540142453,0.524811877,0.510107453,0.540071741
HGNC,1371,STRIPAK complex,Other,20,GABAergic,0.535348274,0.549607838,0.530199016,0.526237968,0.51870807,0.492513339,0.502013318
HGNC,1668,Myosin light chain kinase family,Other,7,Glutamatergic,0.535335497,0.580660599,0.51015431,0.515191582,0.501167732,0.516541928,0.512952675
HGNC,1970,CREB3 transcription factor family,Other,5,Glutamatergic,0.53530209,0.552726734,0.531095788,0.522083748,0.510784183,0.505764947,0.585099824
HGNC,445,Oligosaccharyltransferase complex subunits,Other,12,Glutamatergic,0.535272408,0.529177498,0.524871494,0.551768232,0.515764374,0.514512174,0.504506253
HGNC,648,Mucins,Other,21,GABAergic,0.535244735,0.504965355,0.542946383,0.557822466,0.486012558,0.508830686,0.504817281
HGNC,459,S100 calcium binding proteins,Other,24,Glutamatergic,0.53520665,0.495779995,0.519546564,0.59029339,0.495984552,0.505485968,0.496866611
HGNC,1230,BEACH domain containing ,Other,9,Glutamatergic,0.53503604,0.519600981,0.541140029,0.544367111,0.513138628,0.508600949,0.507208517
HGNC,657,Myosin light chains,Other,14,Glutamatergic,0.534706227,0.512959235,0.504663902,0.586495544,0.503056304,0.50813164,0.501400219
HGNC,922,Peptidylprolyl isomerases,Other,39,Glutamatergic,0.534682198,0.538932716,0.517042138,0.54807174,0.506261744,0.500603153,0.511119827
HGNC,937,Histone deacetylase superfamily,Other,18,Glutamatergic,0.534465221,0.522048656,0.519010224,0.562336784,0.506087029,0.504346587,0.534660202
HGNC,921,Immunophilins,Other,37,Glutamatergic,0.534412751,0.539667594,0.51544165,0.548129008,0.505955555,0.501072598,0.511031651
HGNC,1084,Golgins,Other,52,GABAergic,0.534402327,0.519093027,0.53853881,0.545575143,0.515496148,0.517690296,0.559422394
HGNC,1022,Autophagy related,Other,33,GABAergic,0.534396455,0.546147057,0.5245001,0.532542207,0.522173237,0.51745902,0.496110489
HGNC,958,Membrane spanning 4-domains,Other,18,GABAergic,0.534232826,0.558714737,0.550296799,0.493686943,0.484827835,0.491163293,0.514789293
HGNC,959,Caspase recruitment domain containing,Other,32,Glutamatergic,0.534228473,0.546776418,0.540379057,0.515529943,0.505792438,0.49753415,0.497094154
HGNC,90,Zinc fingers SWIM-type,Other,10,GABAergic,0.53417577,0.516038743,0.530544109,0.555944459,0.50773384,0.50983572,0.502116078
HGNC,12,Vesicle associated membrane proteins,Other,8,Glutamatergic,0.534121691,0.539294805,0.543549415,0.519520853,0.534134233,0.515993577,0.523702532
HGNC,1311,Alpha arrestins,Other,6,Glutamatergic,0.534069793,0.538180409,0.522022307,0.542006663,0.503384848,0.485061279,0.511480803
HGNC,1354,Epidermal differentiation complex,Other,72,Glutamatergic,0.53405514,0.490330287,0.517425207,0.594409925,0.496276268,0.496270791,0.494662959
HGNC,684,Poly(ADP-ribose) polymerases,Other,17,Glutamatergic,0.534003066,0.510661762,0.560019797,0.53132764,0.491018102,0.493225856,0.534111299
HGNC,596,Importins,Other,18,Glutamatergic,0.533904327,0.547347802,0.534144798,0.52022038,0.525658557,0.509930264,0.514708318
HGNC,1883,Thioredoxin domain containing ,Other,17,GABAergic,0.533732758,0.531856522,0.539875607,0.529466145,0.519382339,0.505401009,0.510219121
HGNC,1411,Gag like LTR retrotransposon derived genes,Other,86,Glutamatergic,0.533721188,0.524743298,0.523824943,0.552595321,0.504538998,0.493649904,0.523424338
HGNC,1135,Transmembrane channel like family,Ion Channel,8,GABAergic,0.533699707,0.507991489,0.578251132,0.514856501,0.498794702,0.497556082,0.488559425
HGNC,891,M10 matrix metallopeptidases,Other,24,Glutamatergic,0.533607805,0.537620027,0.478379802,0.584823585,0.492199945,0.513503787,0.48182195
HGNC,1359,Beta-gamma crystallins,Other,18,GABAergic,0.533489333,0.553182017,0.493052514,0.554233467,0.468842046,0.478297391,0.48627903
